Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1936,12,290.6,Y
IDCJAC0001,033059,1937,01,162.6,Y
IDCJAC0001,033059,1937,02,405.2,Y
IDCJAC0001,033059,1937,03,495.5,Y
IDCJAC0001,033059,1937,04,29.2,Y
IDCJAC0001,033059,1937,05,0.0,Y
IDCJAC0001,033059,1937,06,52.3,Y
IDCJAC0001,033059,1937,07,9.4,Y
IDCJAC0001,033059,1937,08,9.9,Y
IDCJAC0001,033059,1937,09,11.7,Y
IDCJAC0001,033059,1937,10,58.4,Y
IDCJAC0001,033059,1937,11,60.7,Y
IDCJAC0001,033059,1937,12,39.4,Y
IDCJAC0001,033059,1938,01,260.4,Y
IDCJAC0001,033059,1938,02,339.0,Y
IDCJAC0001,033059,1938,03,429.5,Y
IDCJAC0001,033059,1938,04,8.4,Y
IDCJAC0001,033059,1938,05,92.8,Y
IDCJAC0001,033059,1938,06,41.0,Y
IDCJAC0001,033059,1938,07,78.6,Y
IDCJAC0001,033059,1938,08,11.7,Y
IDCJAC0001,033059,1938,09,8.6,Y
IDCJAC0001,033059,1938,10,63.7,Y
IDCJAC0001,033059,1938,11,95.3,Y
IDCJAC0001,033059,1938,12,20.3,Y
IDCJAC0001,033059,1939,01,124.9,Y
IDCJAC0001,033059,1939,02,333.9,Y
IDCJAC0001,033059,1939,03,275.4,Y
IDCJAC0001,033059,1939,04,148.5,Y
IDCJAC0001,033059,1939,05,99.1,Y
IDCJAC0001,033059,1939,06,79.1,Y
IDCJAC0001,033059,1939,07,7.1,Y
IDCJAC0001,033059,1939,08,19.0,Y
IDCJAC0001,033059,1939,09,0.0,Y
IDCJAC0001,033059,1939,10,37.4,Y
IDCJAC0001,033059,1939,11,79.9,Y
IDCJAC0001,033059,1939,12,114.1,Y
IDCJAC0001,033059,1940,01,265.8,Y
IDCJAC0001,033059,1940,02,834.0,Y
IDCJAC0001,033059,1940,03,570.3,Y
IDCJAC0001,033059,1940,04,349.3,Y
IDCJAC0001,033059,1940,05,32.0,Y
IDCJAC0001,033059,1940,06,12.8,Y
IDCJAC0001,033059,1940,07,40.6,Y
IDCJAC0001,033059,1940,08,228.3,Y
IDCJAC0001,033059,1940,09,0.0,Y
IDCJAC0001,033059,1940,10,54.9,Y
IDCJAC0001,033059,1940,11,31.2,Y
IDCJAC0001,033059,1940,12,20.1,Y
IDCJAC0001,033059,1941,01,626.0,Y
IDCJAC0001,033059,1941,02,143.5,Y
IDCJAC0001,033059,1941,03,237.4,Y
IDCJAC0001,033059,1941,04,465.5,Y
IDCJAC0001,033059,1941,05,106.6,Y
IDCJAC0001,033059,1941,06,89.1,Y
IDCJAC0001,033059,1941,07,0.0,Y
IDCJAC0001,033059,1941,08,0.0,Y
IDCJAC0001,033059,1941,09,4.6,Y
IDCJAC0001,033059,1941,10,8.1,Y
IDCJAC0001,033059,1941,11,243.5,Y
IDCJAC0001,033059,1941,12,137.4,Y
IDCJAC0001,033059,1942,01,157.0,Y
IDCJAC0001,033059,1942,02,978.2,Y
IDCJAC0001,033059,1942,03,43.5,Y
IDCJAC0001,033059,1942,04,233.4,Y
IDCJAC0001,033059,1942,05,116.9,Y
IDCJAC0001,033059,1942,06,67.8,Y
IDCJAC0001,033059,1942,07,123.1,Y
IDCJAC0001,033059,1942,08,18.6,Y
IDCJAC0001,033059,1942,09,33.0,Y
IDCJAC0001,033059,1942,10,96.3,Y
IDCJAC0001,033059,1942,11,78.1,Y
IDCJAC0001,033059,1942,12,333.0,Y
IDCJAC0001,033059,1943,01,403.1,Y
IDCJAC0001,033059,1943,02,654.8,Y
IDCJAC0001,033059,1943,03,41.7,Y
IDCJAC0001,033059,1943,04,41.4,Y
IDCJAC0001,033059,1943,05,58.7,Y
IDCJAC0001,033059,1943,06,95.0,Y
IDCJAC0001,033059,1943,07,0.0,Y
IDCJAC0001,033059,1943,08,1.0,Y
IDCJAC0001,033059,1943,09,99.6,Y
IDCJAC0001,033059,1943,10,86.6,Y
IDCJAC0001,033059,1943,11,26.1,Y
IDCJAC0001,033059,1943,12,70.6,Y
IDCJAC0001,033059,1944,01,198.6,Y
IDCJAC0001,033059,1944,02,781.9,Y
IDCJAC0001,033059,1944,03,387.1,Y
IDCJAC0001,033059,1944,04,43.7,Y
IDCJAC0001,033059,1944,05,41.7,Y
IDCJAC0001,033059,1944,06,56.6,Y
IDCJAC0001,033059,1944,07,17.3,Y
IDCJAC0001,033059,1944,08,25.2,Y
IDCJAC0001,033059,1944,09,21.5,Y
IDCJAC0001,033059,1944,10,63.4,Y
IDCJAC0001,033059,1944,11,29.6,Y
IDCJAC0001,033059,1944,12,60.4,Y
IDCJAC0001,033059,1945,01,92.9,Y
IDCJAC0001,033059,1945,02,71.8,Y
